activators,upregulated,ferroptosis,Dopamine,oxidative_stress,ER_stress,non_ER_stress,all_genes,NUPR1_associated_genes,function_1,function_2
TGFB1,TFAM,NFATC1,DRD1,GSS,EIF2AK3,HSPA9,NUPR1,NUPR1,stress_response,
NFKB1,PPARGC1A,NFATC2,DRD2,GPX4,ERN1,HSP90B1,TGFB1,TGFB1,activator,
SMAD2,TRIB3,NFATC3,DRD3,NFE2L2,ATF6,,NFKB1,NFKB1,activator,
SMAD3,PPP1R15A,NFATC4,DRD4,,AURKA,,SMAD2,SMAD2,activator,
SMAD4,LCN2,NFAT5,DRD5,,,,SMAD3,SMAD3,activator,
ATF3,FASN,HMOX1,,,,,SMAD4,SMAD4,activator,
ATF4,,LCN2,,,,,ATF3,ATF3,activator,
FOS,,BLVRA,,,,,ATF4,ATF4,activator,
JUN,,BLVRB,,,,,FOS,FOS,activator,
JDP2,,,,,,,JUN,JUN,activator,
TGFBR1,,,,,,,JDP2,JDP2,activator,
EIF2AK3,,,,,,,TGFBR1,TGFBR1,activator,
ERN1,,,,,,,EIF2AK3,EIF2AK3,activator,ER_stress
ATF6,,,,,,,ERN1,ERN1,activator,ER_stress
DDIT3,,,,,,,ATF6,ATF6,activator,ER_stress
RELA,,,,,,,DDIT3,DDIT3,activator,
RELB,,,,,,,RELA,RELA,activator,
REL,,,,,,,RELB,RELB,activator,
,,,,,,,REL,REL,activator,
,,,,,,,TFAM,TFAM,upregulated,
,,,,,,,PPARGC1A,PPARGC1A,upregulated,
,,,,,,,TRIB3,TRIB3,upregulated,
,,,,,,,PPP1R15A,PPP1R15A,upregulated,
,,,,,,,LCN2,LCN2,upregulated,
,,,,,,,FASN,FASN,upregulated,
,,,,,,,NFATC1,,iron_metabolism,
,,,,,,,NFATC2,,iron_metabolism,
,,,,,,,NFATC3,,iron_metabolism,
,,,,,,,NFATC4,,iron_metabolism,
,,,,,,,NFAT5,,iron_metabolism,
,,,,,,,HMOX1,,iron_metabolism,
,,,,,,,BLVRA,,iron_metabolism,
,,,,,,,BLVRB,,iron_metabolism,
,,,,,,,AURKA,,ER_stress,
,,,,,,,HSPA9,,non_ER_stress,
,,,,,,,HSP90B1,,non_ER_stress,
,,,,,,,GSS,,non_ER_stress,
,,,,,,,GPX4,,non_ER_stress,
,,,,,,,NFE2L2,,non_ER_stress,
,,,,,,,DRD1,,dopamine_receptor,
,,,,,,,DRD2,,dopamine_receptor,
,,,,,,,DRD3,,dopamine_receptor,
,,,,,,,DRD4,,dopamine_receptor,
,,,,,,,DRD5,,dopamine_receptor,
,,,,,,,CD47,,proliferation,migration
,,,,,,,ROBO1,,angiogenesis,migration
,,,,,,,ROBO2,,angiogenesis,migration
,,,,,,,ROBO3,,angiogenesis,migration
,,,,,,,SLIT1,,angiogenesis,migration
,,,,,,,SLIT2,,angiogenesis,migration
,,,,,,,SLIT3,,angiogenesis,migration
,,,,,,,THBS1,,ECM_regulation,migration