GSC_Lathia,Richards_2021_DevelopmentalGSC,Richards_2021_InjuryResponseGSC,GSC_Tirosh
SOX2,CBLN1,CXCL6,SOX4
NANOG,GABRA4,CXCL8,CCND2
OLIG2,RIT2,CXCL1,SOX11
MSI1,SHISA6,MLPH,RBM6
BMI1,AMER2,CXCL5,HNRNPH1
ID1,LINC00403,LINC00261,HNRNPL
PROM1,MMD2,COL3A1,PTMA
SSEA1,RPH3A,MME,TRA2A
CD44,VGF,MMP1,SET
L1CAM,SLIT1,TINAGL1,C6orf62
STAT3,NEUROD4,SAMD3,PTPRS
FOXM1,CHRM1,MUC16,CHD7
FOXG1,DBX2,MFAP5,CD24
GLI1,GPR12,LINC00857,H3F3B
ASCL1,VSTM2B,MMP3,C14orf23
ZFX,C5orf67,PTGFR,NFIB
ZFHX4,NCAN,ANXA3,SRGAP2C
POU3F2,C1orf61,LINC00704,STMN2
SALL2,LOC101929625,LTBR,SOX2
KMT2A,BCAN,ZCCHC5,TFDP2
EZH2,SCG3,ECHDC3,CORO1C
,DPP10-AS1,HSD17B2,EIF4B
,LOC440040,BHMT2,FBLIM1
,KCNQ2,CLEC1A,SPDYE7P
,DCX,C4orf32,TCF4
,TTC9B,NGF,ORC6
,BTBD17,MALL,SPDYE1
,THCAT155,IL1B,NCRUPAR
,LUZP2,TLL1,BAZ2B
,IGLON5,LINC00052,NELL2
,LINC01322,ANPEP,OPHN1
,LRRC10,ARHGEF5,SPHKAP
,LHFPL3,SH3RF2,RAB42
,MYT1,COL17A1,LOH12CR2
,FCGR2B,FGFBP1,ASCL1
,SLC6A11,LOC100128317,BOC
,SLC6A1,DAB2,ZBTB8A
,SLC1A6,SLC28A3,ZNF793
,COL20A1,SLIT3,TOX3
,ELAVL4,UBXN10,EGFR
,EVX1-AS,XDH,PGM5P2
,CLVS1,TMEM200A,EEF1A1
,BAALC-AS2,PCSK9,MALAT1
,WISP1,COL10A1,TATDN3
,LRRC3B,RAC2,CCL5
,GFI1B,ADIRF,EVI2A
,SLA,KCCAT211,LYZ
,PCSK2,IDO1,POU5F1
,KCNJ4,SERTM1,FBXO27
,INSM2,RHOD,CAMK2N1
,LINC00645,EREG,NEK5
,LINC00609,DHRS9,PABPC1
,SLC24A4,TNFRSF10D,AFMID
,SRRM4,SLC17A9,QPCTL
,OLIG1,FRMD7,MBOAT1
,KY,SLC16A12,HAPLN1
,NXPH1,SLITRK6,LOC90834
,CPNE6,LOC100505817,LRTOMT
,ENPP6,TGM2,GATM-AS1
,IL33,LINC00702,AZGP1
,CHRNA4,CDCP1,RAMP2-AS1
,CRYGA,TSPAN2,SPDYE5
,OTOR,KRT81,TNFAIP8L1
,ACTL6B,CFH,
,OLIG2,RASSF9,
,C2orf80,IL18,
,ASIC4,ARHGEF34P,
,FOXB1,QRFPR,
,KCND2,FOXC2,
,NKAIN4,LINC01468,
,GPR139,TRHDE,
,LINGO1,TRHDE-AS1,
,LINC00354,TBX18,
,GRM5,MMP13,
,PTPN5,ESM1,
,PRELP,MX2,
,FUT9,SERPINB7,
,CSPG5,CD40,
,TMEM132C,SENCR,
,ADARB2,KYNU,
,TRIM67,LYPD6B,
,CNTNAP5,OGN,
,SPATA22,EBI3,
,RUNDC3A,ARHGAP36,
,GABRD,ASPN,
,FAM182A,WFDC21P,
,MLLT10P1,LOC152225,
,LINC00924,KRT18,
,SPPL2C,AFP,
,TSL,IL7R,
,GDAP1L1,PIK3CG,
,DTHD1,BDKRB1,
,ARC,CLEC7A,
,CELF5,IL4R,
,CA14,VEGFC,
,LMO1,KRT19,
,NECAB2,RSPO3,
,LOC102724604,KRT15,
,LOC101927272,SPINT1,
,MIR325HG,COL6A3,